Data,Valor
01/07/2020,3.980608696
02/07/2020,3.965666667
06/07/2020,4.264714286
07/07/2020,3.890818182
08/07/2020,3.945380952
14/07/2020,3.967958333
15/07/2020,4.040210526
20/07/2020,4.276
21/07/2020,4.04892
28/07/2020,4.073090909
29/07/2020,4.129727273
03/08/2020,4.124
04/08/2020,4.013857143
05/08/2020,4.123166667
10/08/2020,4.165666667
11/08/2020,4.16772
12/08/2020,4.132428571
17/08/2020,4.114088889
19/10/2020,4.255571429
20/10/2020,4.137545455
21/10/2020,4.26852381
22/10/2020,4.284428571
26/10/2020,4.247285714
27/10/2020,4.304115385
28/10/2020,3.999
03/11/2020,4.21832
04/11/2020,4.33
05/11/2020,4.325666667
10/11/2020,4.315810811
11/11/2020,4.2044
12/11/2020,3.899
17/11/2020,4.31552
18/11/2020,4.338411765
19/11/2020,4.395666667
24/11/2020,4.354
25/11/2020,4.23965625
26/11/2020,4.499
30/11/2020,4.461428571
01/12/2020,4.375210526
02/12/2020,4.263409091
08/12/2020,4.34672
09/12/2020,4.382333333
14/12/2020,4.2225
15/12/2020,4.322636364
16/12/2020,4.399
22/12/2020,4.354956522
23/12/2020,4.4266
24/12/2020,4.359769231
28/12/2020,4.179
29/12/2020,4.306875
30/12/2020,4.303285714